Detail,Value,ds,amount_paid,reading_fee_paid,payable_amount,Coupon_Discount,subscription_id,id,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Coupon_Discount,Coupon_Discount_lower,Coupon_Discount_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,id,id_lower,id_upper,payable_amount,payable_amount_lower,payable_amount_upper,reading_fee_paid,reading_fee_paid_lower,reading_fee_paid_upper,subscription_id,subscription_id_lower,subscription_id_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
,,2024-09-06,22231.197080291975,21181.95620437956,24604.970802919714,3594.832116788322,10682739.131386863,23356908.91240876,4,2024-09-06,680.9084220607006,134576.90121955515,136838.30194058738,680.565023728502,681.4708112471149,1.3832400196095849,1.3832400196095849,1.3832400196095849,134995.22128414913,134995.22128414913,134995.22128414913,-426.25583848620647,-426.25583848620647,-426.25583848620647,-138.72484,-138.72484,-138.72484,135088.85289031264,135088.85289031264,135088.85289031264,135516.20880732784,135516.20880732784,135516.20880732784,42.67875207027375,42.67875207027375,42.67875207027375,-76.73022550101014,-76.73022550101014,-76.73022550101014,31.568154882146327,31.568154882146327,31.568154882146327,105.10332714028519,105.10332714028519,105.10332714028519,-60.01009330380964,-60.01009330380964,-60.01009330380964,0.0,0.0,0.0,135676.12970620982
,,2024-09-07,18552.685401459858,22204.628868613137,23957.704379562045,3503.7732481751823,4540266.696350365,21022368.17518248,5,2024-09-07,680.847705842127,151565.64798390688,153771.55862527216,680.4041924485165,681.5125778095883,1.414033804772807,1.414033804772807,1.414033804772807,152001.47906097444,152001.47906097444,152001.47906097444,-493.71844082553713,-493.71844082553713,-493.71844082553713,-138.72484,-138.72484,-138.72484,152423.7452094177,152423.7452094177,152423.7452094177,152899.6404236733,152899.6404236733,152899.6404236733,43.69275307944937,43.69275307944937,43.69275307944937,-73.38310384187146,-73.38310384187146,-73.38310384187146,46.09954352760066,46.09954352760066,46.09954352760066,-215.62938228916147,-215.62938228916147,-215.62938228916147,-67.9119261541138,-67.9119261541138,-67.9119261541138,0.0,0.0,0.0,152682.32676681658
,,2024-09-08,15526.103649635039,14451.533842335768,16476.398540145987,2370.8667153284673,17167648.0270073,21022105.237226278,6,2024-09-08,680.7869896235533,151636.06351258833,153872.5767809762,680.2839083892638,681.5317999713511,1.7971538776863714,1.7971538776863714,1.7971538776863714,152019.8859271085,152019.8859271085,152019.8859271085,-549.2248790260154,-549.2248790260154,-549.2248790260154,-138.72484,-138.72484,-138.72484,152327.05179943005,152327.05179943005,152327.05179943005,152901.5983093971,152901.5983093971,152901.5983093971,55.41289087335337,55.41289087335337,55.41289087335337,-98.75833209954807,-98.75833209954807,-98.75833209954807,16.226656407507313,16.226656407507313,16.226656407507313,-94.3451515474927,-94.3451515474927,-94.3451515474927,-74.09588077404196,-74.09588077404196,-74.09588077404196,0.0,0.0,0.0,152700.67291673206
,,2024-09-09,23545.24087591241,23622.46683211679,23874.131386861314,5160.525547445256,4479011.080291972,23358204.357664235,0,2024-09-09,680.7262734049796,134599.30905232145,136816.06878637418,680.1780719763875,681.4979161739919,0.8537624643815276,0.8537624643815276,0.8537624643815276,135030.2574935885,135030.2574935885,135030.2574935885,-402.15674032361727,-402.15674032361727,-402.15674032361727,-138.72484,-138.72484,-138.72484,135126.58519487904,135126.58519487904,135126.58519487904,135506.56267708383,135506.56267708383,135506.56267708383,43.823677681561065,43.823677681561065,43.823677681561065,-68.74263937776192,-68.74263937776192,-68.74263937776192,46.24445735067034,46.24445735067034,46.24445735067034,120.8012121471442,120.8012121471442,120.8012121471442,-78.40407343769836,-78.40407343769836,-78.40407343769836,0.0,0.0,0.0,135710.98376699348
,,2024-09-10,28449.82481751825,32588.38467153285,38910.97810218979,4668.37299270073,22489862.452554747,23358214.145985402,1,2024-09-10,680.6655571864057,134603.96705159897,136703.79267783646,679.9123528960546,681.5515007220544,1.0201958966122795,1.0201958966122795,1.0201958966122795,134980.63657706077,134980.63657706077,134980.63657706077,-312.20840660037874,-312.20840660037874,-312.20840660037874,-138.72484,-138.72484,-138.72484,135179.80651396592,135179.80651396592,135179.80651396592,135506.48979139418,135506.48979139418,135506.48979139418,20.267106239052254,20.267106239052254,20.267106239052254,-39.397944008537614,-39.397944008537614,-39.397944008537614,3.6357710449726977,3.6357710449726977,3.6357710449726977,20.279513302030633,20.279513302030633,20.279513302030633,-80.72461020716032,-80.72461020716032,-80.72461020716032,0.0,0.0,0.0,135661.30213424718
,,2024-09-11,18506.029197080294,17482.139781021902,21668.978102189783,3279.73102189781,10380663.97810219,14255892.897810219,2,2024-09-11,680.604840967832,202217.78461079713,204335.15364948474,679.7533548618123,681.5999048730756,1.4897991672086839,1.4897991672086839,1.4897991672086839,202551.32904878035,202551.32904878035,202551.32904878035,-494.5740991019084,-494.5740991019084,-494.5740991019084,-138.72484,-138.72484,-138.72484,202781.73168903033,202781.73168903033,202781.73168903033,203284.09437312337,203284.09437312337,203284.09437312337,47.27824843535445,47.27824843535445,47.27824843535445,-88.83941362988043,-88.83941362988043,-88.83941362988043,32.2827810361811,32.2827810361811,32.2827810361811,-10.683303753024457,-10.683303753024457,-10.683303753024457,-80.99449649696318,-80.99449649696318,-80.99449649696318,0.0,0.0,0.0,203231.93388974818
,,2024-09-12,23698.992700729927,23425.08025547445,28853.05109489051,4011.2701094890513,16653235.583941609,23358235.75182482,3,2024-09-12,680.5441247492583,134560.92767877108,136666.65842333552,679.5955543500482,681.7231091454958,1.242411319710942,1.242411319710942,1.242411319710942,134948.86062210295,134948.86062210295,134948.86062210295,-399.3369862702867,-399.3369862702867,-399.3369862702867,-138.72484,-138.72484,-138.72484,135092.3130326148,135092.3130326148,135092.3130326148,135506.32891022984,135506.32891022984,135506.32891022984,36.023752602246134,36.023752602246134,36.023752602246134,-69.3886690498251,-69.3886690498251,-69.3886690498251,17.443613783108592,17.443613783108592,17.443613783108592,74.47378499952607,74.47378499952607,74.47378499952607,-79.20135551136994,-79.20135551136994,-79.20135551136994,0.0,0.0,0.0,135629.4047468522
,,2024-09-13,15205.080291970802,16977.02189781022,21557.087591240874,5002.962043795621,13739232.321167884,23358247.408759125,4,2024-09-13,680.4834085306848,134435.03086626864,136556.19254845227,679.3296605609212,681.8960513215177,0.9070464196387019,0.9070464196387019,0.9070464196387019,134824.32965867696,134824.32965867696,134824.32965867696,-555.1123337932149,-555.1123337932149,-555.1123337932149,-138.72484,-138.72484,-138.72484,134933.33507457518,134933.33507457518,134933.33507457518,135506.24211049356,135506.24211049356,135506.24211049356,47.45353497413521,47.45353497413521,47.45353497413521,-90.49262199893677,-90.49262199893677,-90.49262199893677,24.33733848001647,24.33733848001647,24.33733848001647,105.10332714017277,105.10332714017277,105.10332714017277,-75.38390303841959,-75.38390303841959,-75.38390303841959,0.0,0.0,0.0,135504.81306720764
,,2024-09-14,20299.24379562044,20490.543065693433,23540.00583941606,3839.7416058394156,13309672.059854018,21022430.72189781,5,2024-09-14,680.422692312111,151657.8688856614,153727.49771400003,679.1926048346793,681.937477798289,1.3004178815231286,1.3004178815231286,1.3004178815231286,152005.51006036456,152005.51006036456,152005.51006036456,-461.6871779955971,-461.6871779955971,-461.6871779955971,-138.72484,-138.72484,-138.72484,152429.4954407796,152429.4954407796,152429.4954407796,152899.17468900804,152899.17468900804,152899.17468900804,44.34711537286492,44.34711537286492,44.34711537286492,-78.9931625803382,-78.9931625803382,-78.9931625803382,25.353559093102152,25.353559093102152,25.353559093102152,-215.62938228922616,-215.62938228922616,-215.62938228922616,-69.63115812582889,-69.63115812582889,-69.63115812582889,0.0,0.0,0.0,152685.93275267666
,,2024-09-15,13373.093430656936,14098.483576642337,17245.845985401458,2392.606642335767,13427497.484671533,21022440.12919708,6,2024-09-15,680.3619760935374,151512.83855658871,153686.59378739257,679.0739046609602,682.0033333059793,1.7898019892660237,1.7898019892660237,1.7898019892660237,151996.40218755492,151996.40218755492,151996.40218755492,-588.710324477027,-588.710324477027,-588.710324477027,-138.72484,-138.72484,-138.72484,152291.55258113638,152291.55258113638,152291.55258113638,152899.10464047946,152899.10464047946,152899.10464047946,54.2074823153916,54.2074823153916,54.2074823153916,-99.91383594001961,-99.91383594001961,-99.91383594001961,25.07481676931525,25.07481676931525,25.07481676931525,-94.34515154763272,-94.34515154763272,-94.34515154763272,-62.08040203384339,-62.08040203384339,-62.08040203384339,0.0,0.0,0.0,152676.76416364845
