Detail,Value,ds,amount_paid,Number_of_Months,reading_fee_paid,payable_amount,id,Transaction_Year,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Number_of_Months,Number_of_Months_lower,Number_of_Months_upper,Transaction_Year,Transaction_Year_lower,Transaction_Year_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,id,id_lower,id_upper,payable_amount,payable_amount_lower,payable_amount_upper,reading_fee_paid,reading_fee_paid_lower,reading_fee_paid_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
,,2024-09-27,18383.854014598543,1.175182481751825,17596.81754744526,24993.09489051095,23358393.408759125,1136.3868613138686,4,2024-09-27,18276.45970402194,303443.0885767071,308878.0474533564,18261.64215209676,18293.818165654327,-690.9538574694449,-690.9538574694449,-690.9538574694449,125114.48266584412,125114.48266584412,125114.48266584412,287882.188453073,287882.188453073,287882.188453073,2908.4301098424853,2908.4301098424853,2908.4301098424853,-10119.283398,-10119.283398,-10119.283398,298148.2587922819,298148.2587922819,298148.2587922819,178436.2861362656,178436.2861362656,178436.2861362656,777.2258421316111,777.2258421316111,777.2258421316111,-8397.212104332444,-8397.212104332444,-8397.212104332444,145.81436054373245,145.81436054373245,145.81436054373245,-292.60130175273696,-292.60130175273696,-292.60130175273696,0.0,0.0,0.0,306158.6481570949
,,2024-09-28,12054.744525547445,2.0496350364963507,12182.616762043797,21887.3299270073,21022564.322627738,1022.7481751824818,5,2024-09-28,18276.095899614873,341696.0984637071,347138.42721884203,18260.49576356948,18294.05637531561,-515.5302423956371,-515.5302423956371,-515.5302423956371,141172.61314491933,141172.61314491933,141172.61314491933,326221.99807617883,326221.99807617883,326221.99807617883,3587.943018511425,3587.943018511425,3587.943018511425,-10119.283398,-10119.283398,-10119.283398,336372.7004710572,336372.7004710572,336372.7004710572,201339.81899174163,201339.81899174163,201339.81899174163,867.1116598855624,867.1116598855624,867.1116598855624,-10079.256101605088,-10079.256101605088,-10079.256101605088,253.71529342699037,253.71529342699037,253.71529342699037,-285.13429030536565,-285.13429030536565,-285.13429030536565,0.0,0.0,0.0,344498.0939757937
,,2024-09-29,12874.348905109491,4.473722627737227,12772.458394160585,14496.687591240876,21022571.325547446,1022.7481751824818,6,2024-09-29,18275.732095207804,342275.0178759659,347813.99958428816,18259.369693751156,18294.987482604818,-29.234895433937563,-29.234895433937563,-29.234895433937563,141172.61314491933,141172.61314491933,141172.61314491933,326841.3609320884,326841.3609320884,326841.3609320884,3499.9477394160863,3499.9477394160863,3499.9477394160863,-10119.283398,-10119.283398,-10119.283398,337168.0765634146,337168.0765634146,337168.0765634146,201339.75032592932,201339.75032592932,201339.75032592932,1081.0086990639288,1081.0086990639288,1081.0086990639288,-9896.008450480162,-9896.008450480162,-9896.008450480162,67.49509607463807,67.49509607463807,67.49509607463807,-274.92732940081214,-274.92732940081214,-274.92732940081214,0.0,0.0,0.0,345117.0930272962
,,2024-09-30,24246.291970802922,2.781021897810219,24576.807299270076,25483.051094890514,23358419.87591241,1136.3868613138686,0,2024-09-30,18275.368290800736,304745.6377192616,310248.2641994033,18258.288717763233,18295.49868189867,-368.8069850467594,-368.8069850467594,-368.8069850467594,125114.48266584412,125114.48266584412,125114.48266584412,289307.05168427236,289307.05168427236,289307.05168427236,2279.0205105295054,2279.0205105295054,2279.0205105295054,-10119.283398,-10119.283398,-10119.283398,299995.04820203263,299995.04820203263,299995.04820203263,178436.02661757116,178436.02661757116,178436.02661757116,763.0457239926657,763.0457239926657,763.0457239926657,-6228.720330858084,-6228.720330858084,-6228.720330858084,-306.3887284012709,-306.3887284012709,-306.3887284012709,-262.3243913589954,-262.3243913589954,-262.3243913589954,0.0,0.0,0.0,307582.4199750731
,,2024-10-01,25488.737226277375,3.1094890510948905,24440.17518248175,27846.058394160584,23358430.270072997,1136.3868613138686,1,2024-10-01,18275.00448639367,305104.6957745979,310534.2297887669,18256.9498476456,18296.338587077295,-302.91330659666465,-302.91330659666465,-302.91330659666465,125114.48266584412,125114.48266584412,125114.48266584412,289384.87482973136,289384.87482973136,289384.87482973136,2145.6277179305034,2145.6277179305034,2145.6277179305034,-10119.283398,-10119.283398,-10119.283398,299816.61009080254,299816.61009080254,299816.61009080254,178435.92469958414,178435.92469958414,178435.92469958414,694.6565039617223,694.6565039617223,694.6565039617223,-6271.16818992126,-6271.16818992126,-6271.16818992126,-64.71583002042033,-64.71583002042033,-64.71583002042033,-247.7360330507788,-247.7360330507788,-247.7360330507788,0.0,0.0,0.0,307659.879316125
,,2024-10-02,21422.0,3.656934306569343,20193.72262773723,24459.598540145984,23358443.430656936,1136.3868613138686,2,2024-10-02,18274.640681986602,304659.5153005283,310036.67856205744,18255.683738883297,18296.670197921434,-193.09050917984007,-193.09050917984007,-193.09050917984007,125114.48266584412,125114.48266584412,125114.48266584412,288848.9364181427,288848.9364181427,288848.9364181427,2582.245293625864,2582.245293625864,2582.245293625864,-10119.283398,-10119.283398,-10119.283398,299141.67441493564,299141.67441493564,299141.67441493564,178435.79565595314,178435.79565595314,178435.79565595314,792.6660819066153,792.6660819066153,792.6660819066153,-7590.424773214276,-7590.424773214276,-7590.424773214276,58.17110688755008,58.17110688755008,58.17110688755008,-231.6257056804832,-231.6257056804832,-231.6257056804832,0.0,0.0,0.0,307123.5771001293
,,2024-10-03,24621.57664233577,3.1094890510948905,23309.401167883214,24042.934306569343,23358454.11678832,1136.3868613138686,3,2024-10-03,18274.276877579534,304871.0915561674,310094.93701387674,18254.0419267845,18297.673374818383,-302.91330659666465,-302.91330659666465,-302.91330659666465,125114.48266584412,125114.48266584412,125114.48266584412,289180.3762101964,289180.3762101964,289180.3762101964,2238.728779256204,2238.728779256204,2238.728779256204,-10119.283398,-10119.283398,-10119.283398,299668.2452995446,299668.2452995446,299668.2452995446,178435.69087510137,178435.69087510137,178435.69087510137,804.72501289591,804.72501289591,804.72501289591,-6622.468726956354,-6622.468726956354,-6622.468726956354,-154.09129851007944,-154.09129851007944,-154.09129851007944,-214.49439283810074,-214.49439283810074,-214.49439283810074,0.0,0.0,0.0,307454.6530877759
,,2024-10-04,15570.394160583943,2.014598540145985,14858.744525547447,16683.19708029197,23358322.489051096,1136.3868613138686,4,2024-10-04,18273.91307317247,303365.28331554815,308702.8110280188,18252.520234511714,18298.74269298695,-522.558901430314,-522.558901430314,-522.558901430314,125114.48266584412,125114.48266584412,125114.48266584412,287838.9352609886,287838.9352609886,287838.9352609886,3210.4919231405484,3210.4919231405484,3210.4919231405484,-10119.283398,-10119.283398,-10119.283398,298009.26837119483,298009.26837119483,298009.26837119483,178436.98152612636,178436.98152612636,178436.98152612636,1017.727608653141,1017.727608653141,1017.727608653141,-9247.856451139003,-9247.856451139003,-9247.856451139003,145.81436054258288,145.81436054258288,145.81436054258288,-196.8640727488114,-196.8640727488114,-196.8640727488114,0.0,0.0,0.0,306112.84833416104
,,2024-10-05,15869.837956204381,3.6262773722627735,15611.084671532848,15392.831386861315,21022626.889051095,1022.7481751824818,5,2024-10-05,18273.5492687654,343000.90079942753,348581.9520334662,18250.733753687437,18299.730630040645,-199.24058583518223,-199.24058583518223,-199.24058583518223,141172.61314491933,141172.61314491933,141172.61314491933,327487.0400315848,327487.0400315848,327487.0400315848,3178.342704534533,3178.342704534533,3178.342704534533,-10119.283398,-10119.283398,-10119.283398,337531.8686734828,337531.8686734828,337531.8686734828,201339.20550844292,201339.20550844292,201339.20550844292,1055.0728607628866,1055.0728607628866,1055.0728607628866,-9014.124959341709,-9014.124959341709,-9014.124959341709,253.7152934269174,253.7152934269174,253.7152934269174,-179.26053732488012,-179.26053732488012,-179.26053732488012,0.0,0.0,0.0,345760.58930035017
,,2024-10-06,16346.417518248176,1.8131386861313867,16039.252510948903,21026.15474452555,21022633.786861315,1022.7481751824818,6,2024-10-06,18273.185464358336,342429.1005791038,348002.4890317419,18249.70020260997,18299.847572829887,-562.9736908797054,-562.9736908797054,-562.9736908797054,141172.61314491933,141172.61314491933,141172.61314491933,326872.89906299417,326872.89906299417,326872.89906299417,3127.1756383024235,3127.1756383024235,3127.1756383024235,-10119.283398,-10119.283398,-10119.283398,337086.88348546356,337086.88348546356,337086.88348546356,201339.13787326193,201339.13787326193,201339.13787326193,892.0354504545231,892.0354504545231,892.0354504545231,-8881.10493059492,-8881.10493059492,-8881.10493059492,67.49509607450614,67.49509607450614,67.49509607450614,-162.196120543901,-162.196120543901,-162.196120543901,0.0,0.0,0.0,345146.0845273525
