Detail,Value,ds,amount_paid,Number_of_Months,Coupon_Discount,payable_amount,id,Transaction_Year,transaction_type_id,magazine_fee_paid,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Coupon_Discount,Coupon_Discount_lower,Coupon_Discount_upper,Number_of_Months,Number_of_Months_lower,Number_of_Months_upper,Transaction_Year,Transaction_Year_lower,Transaction_Year_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,id,id_lower,id_upper,magazine_fee_paid,magazine_fee_paid_lower,magazine_fee_paid_upper,payable_amount,payable_amount_lower,payable_amount_upper,transaction_type_id,transaction_type_id_lower,transaction_type_id_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
,,2024-08-25,15189.582481751826,1.5503649635036498,2335.743091970803,19563.293430656937,21022113.51459854,1022.7481751824818,0.8343065693430658,59.12408759124088,6,2024-08-25,101732.58392456605,2315895.387288072,2322410.203830793,101732.58392456605,101732.58392456605,-2629.757004378678,-2629.757004378678,-2629.757004378678,-439.481799658539,-439.481799658539,-439.481799658539,2487672.3399308263,2487672.3399308263,2487672.3399308263,2217523.3908103523,2217523.3908103523,2217523.3908103523,-23176.367438857345,-23176.367438857345,-23176.367438857345,-50982.4565435352,-50982.4565435352,-50982.4565435352,2269957.061622493,2269957.061622493,2269957.061622493,-188034.14135174442,-188034.14135174442,-188034.14135174442,-10.16696320232242,-10.16696320232242,-10.16696320232242,-3310.7657764438222,-3310.7657764438222,-3310.7657764438222,-114.59797404844532,-114.59797404844532,-114.59797404844532,-936.3051857268459,-936.3051857268459,-936.3051857268459,-514.9090828789465,-514.9090828789465,-514.9090828789465,0.0,0.0,0.0,2319255.974734918
,,2024-08-26,18567.452554744526,1.686131386861314,3028.8759124087587,20135.56204379562,23357912.686131388,1136.3868613138686,1.1240875912408759,105.1094890510949,0,2024-08-26,101741.19265492437,2058931.9235639453,2065578.4775412201,101741.19265492437,101741.19265492437,-2289.0141864104585,-2289.0141864104585,-2289.0141864104585,-420.0405605844897,-420.0405605844897,-420.0405605844897,2204704.091813268,2204704.091813268,2204704.091813268,1960584.9243156195,1960584.9243156195,1960584.9243156195,-20591.275014477706,-20591.275014477706,-20591.275014477706,-50982.4565435352,-50982.4565435352,-50982.4565435352,2011413.8115431704,2011413.8115431704,2011413.8115431704,-166644.9474283453,-166644.9474283453,-166644.9474283453,-9.195486328105499,-9.195486328105499,-9.195486328105499,-3252.0802924969203,-3252.0802924969203,-3252.0802924969203,-83.72730145487813,-83.72730145487813,-83.72730145487813,617.412434808006,617.412434808006,617.412434808006,-463.84311882338693,-463.84311882338693,-463.84311882338693,0.0,0.0,0.0,2062326.116970544
,,2024-08-27,33619.25547445256,3.0437956204379564,6514.455032846716,45110.71532846716,23357923.226277374,1136.3868613138686,1.0364963503649636,583.9416058394161,1,2024-08-27,101749.80138528268,2074439.4613464987,2081365.0730981005,101749.80138528268,101749.80138528268,-575.5099102765142,-575.5099102765142,-575.5099102765142,-225.62816984399657,-225.62816984399657,-225.62816984399657,2204704.091813268,2204704.091813268,2204704.091813268,1976269.674389274,1976269.674389274,1976269.674389274,-9072.09255328875,-9072.09255328875,-9072.09255328875,-50982.4565435352,-50982.4565435352,-50982.4565435352,2027402.9647623312,2027402.9647623312,2027402.9647623312,-166644.85091096093,-166644.85091096093,-166644.85091096093,0.9202093780262662,0.9202093780262662,0.9202093780262662,-690.9072288191737,-690.9072288191737,-690.9072288191737,-93.05848712547777,-93.05848712547777,-93.05848712547777,254.73836915448797,254.73836915448797,254.73836915448797,-405.5721986766142,-405.5721986766142,-405.5721986766142,0.0,0.0,0.0,2078019.4757745569
,,2024-08-28,19220.788321167885,1.9489051094890513,3186.4233540145988,21271.014598540147,23357937.70072993,1136.3868613138686,1.1240875912408759,350.3649635036497,2,2024-08-28,101758.41011564099,2059401.531229897,2065787.4521130542,101758.41011564099,101758.41011564099,-2211.5641542758704,-2211.5641542758704,-2211.5641542758704,-382.4123559250394,-382.4123559250394,-382.4123559250394,2204704.091813268,2204704.091813268,2204704.091813268,1961015.197951201,1961015.197951201,1961015.197951201,-20091.275516610418,-20091.275516610418,-20091.275516610418,-50982.4565435352,-50982.4565435352,-50982.4565435352,2012150.7388948572,2012150.7388948572,2012150.7388948572,-166644.71836665814,-166644.71836665814,-166644.71836665814,-4.014276332281911,-4.014276332281911,-4.014276332281911,-3135.640947154419,-3135.640947154419,-3135.640947154419,-83.72730145487813,-83.72730145487813,-83.72730145487813,187.5189052055461,187.5189052055461,187.5189052055461,-340.6033053267383,-340.6033053267383,-340.6033053267383,0.0,0.0,0.0,2062773.608066842
,,2024-08-29,24647.262773722632,3.131386861313869,4794.102218978102,30126.335766423363,23357948.70072993,1136.3868613138686,1.2408759124087592,289.05109489051097,3,2024-08-29,101767.01884599931,2065682.364237026,2072276.7083499474,101767.01124186702,101767.01884599931,-1421.2321851599324,-1421.2321851599324,-1421.2321851599324,-213.08543495751312,-213.08543495751312,-213.08543495751312,2204704.091813268,2204704.091813268,2204704.091813268,1967149.2280540834,1967149.2280540834,1967149.2280540834,-15938.38103125191,-15938.38103125191,-15938.38103125191,-50982.4565435352,-50982.4565435352,-50982.4565435352,2018182.6422138393,2018182.6422138393,2018182.6422138393,-166644.61763833524,-166644.61763833524,-166644.61763833524,-5.309578831237808,-5.309578831237808,-5.309578831237808,-2227.5380103320986,-2227.5380103320986,-2227.5380103320986,-71.28572056074523,-71.28572056074523,-71.28572056074523,218.70342790364617,218.70342790364617,218.70342790364617,-269.6610441243456,-269.6610441243456,-269.6610441243456,0.0,0.0,0.0,2068916.2469000828
,,2024-08-30,22754.51094890511,2.343065693430657,4575.299270072994,24285.029197080294,23357960.19708029,1136.3868613138686,0.8175182481751825,0.0,4,2024-08-30,101775.62757635763,2062923.5874299854,2069803.1398296729,101775.2473580617,101775.62757635763,-1528.795311867127,-1528.795311867127,-1528.795311867127,-325.970048935864,-325.970048935864,-325.970048935864,2204704.091813268,2204704.091813268,2204704.091813268,1964607.9512088534,1964607.9512088534,1964607.9512088534,-17386.908741860832,-17386.908741860832,-17386.908741860832,-50982.4565435352,-50982.4565435352,-50982.4565435352,2015863.5456511073,2015863.5456511073,2015863.5456511073,-166644.51236487238,-166644.51236487238,-166644.51236487238,-11.416004897744177,-11.416004897744177,-11.416004897744177,-2826.557238424979,-2826.557238424979,-2826.557238424979,-116.3864513019769,-116.3864513019769,-116.3864513019769,-79.45642856935018,-79.45642856935018,-79.45642856935018,-193.68147014942247,-193.68147014942247,-193.68147014942247,0.0,0.0,0.0,2066383.578785211
,,2024-08-31,19196.441605839416,1.754014598540146,3463.3842043795626,19058.268613138687,21022173.860583942,1022.7481751824818,1.0182481751824817,135.98540145985402,5,2024-08-31,101784.23630671593,2320666.816075954,2327264.5237227236,101783.53782505145,101784.23630671593,-2075.4107103217907,-2075.4107103217907,-2075.4107103217907,-410.3199410474651,-410.3199410474651,-410.3199410474651,2487672.3399308263,2487672.3399308263,2487672.3399308263,2222218.143865852,2222218.143865852,2222218.143865852,-20109.908118810654,-20109.908118810654,-20109.908118810654,-50982.4565435352,-50982.4565435352,-50982.4565435352,2273577.0112242326,2273577.0112242326,2273577.0112242326,-188033.5887562987,-188033.5887562987,-188033.5887562987,-8.543208998274135,-8.543208998274135,-8.543208998274135,-3362.5554869762645,-3362.5554869762645,-3362.5554869762645,-95.00248414018606,-95.00248414018606,-95.00248414018606,-262.6115227761548,-262.6115227761548,-262.6115227761548,-113.7992920694087,-113.7992920694087,-113.7992920694087,0.0,0.0,0.0,2324002.380172568
,,2024-09-01,15655.62481751825,1.8131386861313867,2709.1878832116786,16923.66569343066,21022308.998540144,1022.7481751824818,1.0116788321167882,0.0,6,2024-09-01,101792.84503707425,2316742.3557903743,2323693.409868371,101791.83219787868,101793.02863818688,-2446.172232786753,-2446.172232786753,-2446.172232786753,-401.85359499908884,-401.85359499908884,-401.85359499908884,2487672.3399308263,2487672.3399308263,2487672.3399308263,2218333.593521483,2218333.593521483,2218333.593521483,-22819.704072417502,-22819.704072417502,-22819.704072417502,-50982.4565435352,-50982.4565435352,-50982.4565435352,2270283.6838750253,2270283.6838750253,2270283.6838750253,-188032.35128178168,-188032.35128178168,-188032.35128178168,-11.416004897744177,-11.416004897744177,-11.416004897744177,-3581.4565458522266,-3581.4565458522266,-3581.4565458522266,-95.70232306548102,-95.70232306548102,-95.70232306548102,-936.3051857264215,-936.3051857264215,-936.3051857264215,-31.32862428157786,-31.32862428157786,-31.32862428157786,0.0,0.0,0.0,2320126.438558557
,,2024-09-02,24842.70802919708,2.802919708029197,5471.8934306569345,29369.912408759126,23358131.613138687,1136.3868613138686,1.1240875912408759,236.49635036496352,0,2024-09-02,101801.45376743255,2066644.379133616,2073360.0731143504,101799.93360012792,101801.79797877395,-1088.0312738026946,-1088.0312738026946,-1088.0312738026946,-260.12069078182606,-260.12069078182606,-260.12069078182606,2204704.091813268,2204704.091813268,2204704.091813268,1968216.1536172715,1968216.1536172715,1968216.1536172715,-15788.806287881063,-15788.806287881063,-15788.806287881063,-50982.4565435352,-50982.4565435352,-50982.4565435352,2018528.9353836272,2018528.9353836272,2018528.9353836272,-166642.9426874107,-166642.9426874107,-166642.9426874107,-6.419838116057148,-6.419838116057148,-6.419838116057148,-2305.1083501936496,-2305.1083501936496,-2305.1083501936496,-83.72730145487813,-83.72730145487813,-83.72730145487813,617.4124348092971,617.4124348092971,617.4124348092971,52.262342370263134,52.262342370263134,52.262342370263134,0.0,0.0,0.0,2070017.607384704
,,2024-09-03,17762.43795620438,2.6715328467153285,3473.6642335766423,21142.036496350367,23358144.489051096,1136.3868613138686,0.9270072992700731,128.46715328467153,1,2024-09-03,101810.06249779089,2059071.101903834,2066077.3921205387,101808.07173387117,101810.88550244922,-2070.3570669014784,-2070.3570669014784,-2070.3570669014784,-278.93479311155113,-278.93479311155113,-278.93479311155113,2204704.091813268,2204704.091813268,2204704.091813268,1960649.992476183,1960649.992476183,1960649.992476183,-21207.354702337758,-21207.354702337758,-21207.354702337758,-50982.4565435352,-50982.4565435352,-50982.4565435352,2011242.328460557,2011242.328460557,2011242.328460557,-166642.82478113228,-166642.82478113228,-166642.82478113228,-8.70203775707468,-8.70203775707468,-8.70203775707468,-3148.8675022577054,-3148.8675022577054,-3148.8675022577054,-104.72246921372734,-104.72246921372734,-104.72246921372734,254.73836915468172,254.73836915468172,254.73836915468172,135.3821900068405,135.3821900068405,135.3821900068405,0.0,0.0,0.0,2062460.054973974
,,2024-09-04,20789.21897810219,1.248175182481752,3531.4741605839417,25136.532846715327,23358154.218978103,1136.3868613138686,0.9781021897810219,181.75182481751827,2,2024-09-04,101818.6712281492,2061538.9622395101,2068573.0066949872,101815.34960149492,101819.81203708818,-2041.9378132545976,-2041.9378132545976,-2041.9378132545976,-482.7542350169068,-482.7542350169068,-482.7542350169068,2204704.091813268,2204704.091813268,2204704.091813268,1963221.0345797078,1963221.0345797078,1963221.0345797078,-18890.95160781855,-18890.95160781855,-18890.95160781855,-50982.4565435352,-50982.4565435352,-50982.4565435352,2013799.6203137152,2013799.6203137152,2013799.6203137152,-166642.73568302052,-166642.73568302052,-166642.73568302052,-7.576358204410627,-7.576358204410627,-7.576358204410627,-2739.236524665556,-2739.236524665556,-2739.236524665556,-99.2792775725442,-99.2792775725442,-99.2792775725442,187.51890520234292,187.51890520234292,187.51890520234292,216.35190432540543,216.35190432540543,216.35190432540543,0.0,0.0,0.0,2065039.705807857
,,2024-09-05,20041.70072992701,3.131386861313869,3164.7007591240877,23123.8394160584,23358166.518248178,1136.3868613138686,1.0145985401459854,26.277372262773724,3,2024-09-05,101827.27995850751,2060977.835076737,2067960.2849919437,101822.89721162958,101828.80515495491,-2222.24294191703,-2222.24294191703,-2222.24294191703,-213.08543495751312,-213.08543495751312,-213.08543495751312,2204704.091813268,2204704.091813268,2204704.091813268,1962640.9143923558,1962640.9143923558,1962640.9143923558,-19463.02919478481,-19463.02919478481,-19463.02919478481,-50982.4565435352,-50982.4565435352,-50982.4565435352,2013111.2231191506,2013111.2231191506,2013111.2231191506,-166642.62305712528,-166642.62305712528,-166642.62305712528,-10.860875255334507,-10.860875255334507,-10.860875255334507,-2945.635906534553,-2945.635906534553,-2945.635906534553,-95.39128354312768,-95.39128354312768,-95.39128354312768,218.70342790440958,218.70342790440958,218.70342790440958,293.44438883621035,293.44438883621035,293.44438883621035,0.0,0.0,0.0,2064468.1943508633
,,2024-09-06,22231.197080291975,1.686131386861314,3594.832116788322,24604.970802919714,23356908.91240876,1136.3868613138686,0.8686131386861314,65.69343065693431,4,2024-09-06,101835.88868886582,2062849.7044811284,2069454.6665864293,101831.05579363779,101837.90002326046,-2010.7911586723683,-2010.7911586723683,-2010.7911586723683,-420.0405605844897,-420.0405605844897,-420.0405605844897,2204704.091813268,2204704.091813268,2204704.091813268,1964220.0136539745,1964220.0136539745,1964220.0136539745,-17787.402155784854,-17787.402155784854,-17787.402155784854,-50982.4565435352,-50982.4565435352,-50982.4565435352,2014916.9997956948,2014916.9997956948,2014916.9997956948,-166654.13910504003,-166654.13910504003,-166654.13910504003,-10.028180791720002,-10.028180791720002,-10.028180791720002,-2793.747597039169,-2793.747597039169,-2793.747597039169,-110.94325966079379,-110.94325966079379,-110.94325966079379,-79.4564285680552,-79.4564285680552,-79.4564285680552,364.9268303828296,364.9268303828296,364.9268303828296,0.0,0.0,0.0,2066055.9023428403
,,2024-09-07,18552.685401459858,1.8131386861313867,3503.7732481751823,23957.704379562045,21022368.17518248,1022.7481751824818,1.0116788321167882,126.13138686131387,5,2024-09-07,101844.49741922415,2321312.3328040284,2328089.1395483916,101839.02647662841,101846.92231392827,-2055.5555307773193,-2055.5555307773193,-2055.5555307773193,-401.85359499908884,-401.85359499908884,-401.85359499908884,2487672.3399308263,2487672.3399308263,2487672.3399308263,2222800.004042591,2222800.004042591,2222800.004042591,-20602.57635386049,-20602.57635386049,-20602.57635386049,-50982.4565435352,-50982.4565435352,-50982.4565435352,2273615.9673317354,2273615.9673317354,2273615.9673317354,-188031.80939415106,-188031.80939415106,-188031.80939415106,-8.751382614177762,-8.751382614177762,-8.751382614177762,-2860.1240196232957,-2860.1240196232957,-2860.1240196232957,-95.70232306548102,-95.70232306548102,-95.70232306548102,-262.61152277384303,-262.61152277384303,-262.61152277384303,429.1047771647235,429.1047771647235,429.1047771647235,0.0,0.0,0.0,2324644.501461815
,,2024-09-08,15526.103649635039,1.5175182481751825,2370.8667153284673,16476.398540145987,21022105.237226278,1022.7481751824818,1.0116788321167882,94.59854014598541,6,2024-09-08,101853.10614958245,2317093.141360505,2323813.430571893,101846.34658838827,101857.08790996243,-2612.490295824057,-2612.490295824057,-2612.490295824057,-444.18532524097037,-444.18532524097037,-444.18532524097037,2487672.3399308263,2487672.3399308263,2487672.3399308263,2218495.782065218,2218495.782065218,2218495.782065218,-22918.8269464939,-22918.8269464939,-22918.8269464939,-50982.4565435352,-50982.4565435352,-50982.4565435352,2269930.177078614,2269930.177078614,2269930.177078614,-188034.21714863766,-188034.21714863766,-188034.21714863766,-9.417538185069365,-9.417538185069365,-9.417538185069365,-3627.3232747649013,-3627.3232747649013,-3627.3232747649013,-95.70232306548102,-95.70232306548102,-95.70232306548102,-936.3051857285695,-936.3051857285695,-936.3051857285695,484.36671586733945,484.36671586733945,484.36671586733945,0.0,0.0,0.0,2320348.8882148005
