Detail,Value,ds,reading_fee_paid,amount_paid,Coupon_Discount,payable_amount,transaction_type_id,transaction,member_branch_id,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Coupon_Discount,Coupon_Discount_lower,Coupon_Discount_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,member_branch_id,member_branch_id_lower,member_branch_id_upper,payable_amount,payable_amount_lower,payable_amount_upper,reading_fee_paid,reading_fee_paid_lower,reading_fee_paid_upper,transaction_type_id,transaction_type_id_lower,transaction_type_id_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
,,2024-09-07,22204.628868613137,18552.685401459858,3503.7732481751823,23957.704379562045,1.0116788321167882,,138.514598540146,5,2024-09-07,3.624880257590582,0.9638844502243955,8.582851809722536,3.624880255760775,3.624880258548156,-1.4661586021241224,-1.4661586021241224,-1.4661586021241224,1.088846203522711,1.088846203522711,1.088846203522711,4.84764945966169,4.84764945966169,4.84764945966169,1.175184,1.175184,1.175184,0.3524852833445008,0.3524852833445008,0.3524852833445008,-0.08670969325287557,-0.08670969325287557,-0.08670969325287557,0.8219634696274545,0.8219634696274545,0.8219634696274545,-3.7716075159017093,-3.7716075159017093,-3.7716075159017093,0.007348165334063634,0.007348165334063634,0.007348165334063634,0.0849726747730841,0.0849726747730841,0.0849726747730841,-0.5237957545948744,-0.5237957545948744,-0.5237957545948744,0.0,0.0,0.0,4.713726461113293
,,2024-09-08,14451.533842335768,15526.103649635039,2370.8667153284673,16476.398540145987,1.0116788321167882,,219.19270072992705,6,2024-09-08,3.625075095866147,-0.1034808921679434,7.328020728879834,3.6250750937832517,3.625075096992548,-1.8634014322832604,-1.8634014322832604,-1.8634014322832604,0.09839983309964562,0.09839983309964562,0.09839983309964562,5.3926478492304035,5.3926478492304035,5.3926478492304035,1.175184,1.175184,1.175184,-0.5603240820772523,-0.5603240820772523,-0.5603240820772523,-0.06356946050976553,-0.06356946050976553,-0.06356946050976553,1.042446832350603,1.042446832350603,1.042446832350603,-5.075796036199296,-5.075796036199296,-5.075796036199296,0.007348165334063634,0.007348165334063634,0.007348165334063634,-0.017665206447521085,-0.017665206447521085,-0.017665206447521085,-0.4987948783755809,-0.4987948783755809,-0.4987948783755809,0.0,0.0,0.0,3.7234749289657927
,,2024-09-09,23622.46683211679,23545.24087591241,5160.525547445256,23874.131386861314,1.1240875912408759,,240.67153284671534,0,2024-09-09,3.625269934141712,1.0021963106422136,8.41548151067922,3.6252699317714248,3.62526993536783,-0.885234268868689,-0.885234268868689,-0.885234268868689,1.142096137571072,1.142096137571072,1.142096137571072,3.948637003854553,3.948637003854553,3.948637003854553,1.175184,1.175184,1.175184,0.3037434422803492,0.3037434422803492,0.3037434422803492,-0.05740886475029286,-0.05740886475029286,-0.05740886475029286,0.8244264693843169,0.8244264693843169,0.8244264693843169,-3.533105602875186,-3.533105602875186,-3.533105602875186,0.006428705535647999,0.006428705535647999,0.006428705535647999,0.12910912049103745,0.12910912049103745,0.12910912049103745,-0.46594042520031437,-0.46594042520031437,-0.46594042520031437,0.0,0.0,0.0,4.767366071712784
,,2024-09-10,32588.38467153285,28449.82481751825,4668.37299270073,38910.97810218979,0.6715328467153284,,130.29927007299273,1,2024-09-10,3.625464772417277,0.9612719706820503,7.830803076782116,3.625464769824601,3.6254647741410797,-1.057802850696452,-1.057802850696452,-1.057802850696452,0.7527711811144268,0.7527711811144268,0.7527711811144268,3.0654656346793683,3.0654656346793683,3.0654656346793683,1.175184,1.175184,1.175184,0.2850972917036324,0.2850972917036324,0.2850972917036324,-0.08906602796615175,-0.08906602796615175,-0.08906602796615175,0.38127194533308095,0.38127194533308095,0.38127194533308095,-2.0249018364482096,-2.0249018364482096,-2.0249018364482096,0.010130426801996656,0.010130426801996656,0.010130426801996656,-0.2819208878272257,-0.2819208878272257,-0.2819208878272257,-0.4255892227619795,-0.4255892227619795,-0.4255892227619795,0.0,0.0,0.0,4.3782359535317035
,,2024-09-11,17482.139781021902,18506.029197080294,3279.73102189781,21668.978102189783,0.5401459854014599,,152.33576642335765,2,2024-09-11,3.6256596106928423,0.4426509307575115,7.4410827250530325,3.625659607930258,3.6256596124918103,-1.5447168639587898,-1.5447168639587898,-1.5447168639587898,0.10661706394093184,0.10661706394093184,0.10661706394093184,4.856050870340559,4.856050870340559,4.856050870340559,1.175184,1.175184,1.175184,-0.4367933006157968,-0.4367933006157968,-0.4367933006157968,-0.08274548198713727,-0.08274548198713727,-0.08274548198713727,0.8894150719037834,0.8894150719037834,0.8894150719037834,-4.566002016987085,-4.566002016987085,-4.566002016987085,0.011205120072872072,0.011205120072872072,0.011205120072872072,-0.25349659556749693,-0.25349659556749693,-0.25349659556749693,-0.37827703987577427,-0.37827703987577427,-0.37827703987577427,0.0,0.0,0.0,3.7322766746337743
,,2024-09-12,23425.08025547445,23698.992700729927,4011.2701094890513,28853.05109489051,1.364963503649635,,234.35036496350367,3,2024-09-12,3.6258544489684077,0.47851694538959744,7.953732580242692,3.6258544458708606,3.6258544511531223,-1.2882096860925143,-1.2882096860925143,-1.2882096860925143,0.6358283769598869,0.6358283769598869,0.6358283769598869,3.9209508206320844,3.9209508206320844,3.9209508206320844,1.175184,1.175184,1.175184,-0.31063984174722825,-0.31063984174722825,-0.31063984174722825,-0.05922191305033477,-0.05922191305033477,-0.05922191305033477,0.6776915298539582,0.6776915298539582,0.6776915298539582,-3.566309027629465,-3.566309027629465,-3.566309027629465,0.004458434539043069,0.004458434539043069,0.004458434539043069,0.09599456399902351,0.09599456399902351,0.09599456399902351,-0.32471034529190884,-0.32471034529190884,-0.32471034529190884,0.0,0.0,0.0,4.261682825928295
,,2024-09-13,16977.02189781022,15205.080291970802,5002.962043795621,21557.087591240874,1.3065693430656935,,288.50364963503654,4,2024-09-13,3.626049287243973,1.9242911053052756,8.878800038500497,3.626049283864211,3.6260492896044227,-0.9404824030305557,-0.9404824030305557,-0.9404824030305557,1.8653972316238976,1.8653972316238976,1.8653972316238976,5.45045471760112,5.45045471760112,5.45045471760112,1.175184,1.175184,1.175184,0.7129609117004926,0.7129609117004926,0.7129609117004926,-0.04368957432283942,-0.04368957432283942,-0.04368957432283942,0.8927126240478024,0.8927126240478024,0.8927126240478024,-4.6509705285878,-4.6509705285878,-4.6509705285878,0.004936075992765476,0.004936075992765476,0.004936075992765476,0.24300633057944349,0.24300633057944349,0.24300633057944349,-0.2657540106560389,-0.2657540106560389,-0.2657540106560389,0.0,0.0,0.0,5.491446518867871
,,2024-09-14,20490.543065693433,20299.24379562044,3839.7416058394156,23540.00583941606,0.8802919708029198,,156.44233576642335,5,2024-09-14,3.6262441255195377,1.1709206353113575,8.369908571849999,3.6262441218369106,3.626244128043514,-1.3483545138141164,-1.3483545138141164,-1.3483545138141164,0.9437185794214004,0.9437185794214004,0.9437185794214004,4.533145643093272,4.533145643093272,4.533145643093272,1.175184,1.175184,1.175184,-0.11402289899353246,-0.11402289899353246,-0.11402289899353246,-0.08156762866888834,-0.08156762866888834,-0.08156762866888834,0.8342735637089881,0.8342735637089881,0.8342735637089881,-4.059942821917727,-4.059942821917727,-4.059942821917727,0.008422858604939049,0.008422858604939049,0.008422858604939049,0.08497267477303536,0.08497267477303536,0.08497267477303536,-0.20241519635810273,-0.20241519635810273,-0.20241519635810273,0.0,0.0,0.0,4.569962704940938
,,2024-09-15,14098.483576642337,13373.093430656936,2392.606642335767,17245.845985401458,0.8802919708029198,,250.09489051094894,6,2024-09-15,3.6264389637951036,0.6678319943457394,8.402363885356468,3.626438959661925,3.626438966495642,-1.8557785349996403,-1.8557785349996403,-1.8557785349996403,0.7845608160860071,0.7845608160860071,0.7845608160860071,5.78034168943828,5.78034168943828,5.78034168943828,1.175184,1.175184,1.175184,-0.2371342275799873,-0.2371342275799873,-0.2371342275799873,-0.05470604101431813,-0.05470604101431813,-0.05470604101431813,1.019770261734436,1.019770261734436,1.019770261734436,-5.135184461343684,-5.135184461343684,-5.135184461343684,0.008422858604939049,0.008422858604939049,0.008422858604939049,-0.017665206447661112,-0.017665206447661112,-0.017665206447661112,-0.13582374988634485,-0.13582374988634485,-0.13582374988634485,0.0,0.0,0.0,4.410999779881111
,,2024-09-16,26520.175182481755,26491.700729927008,5136.759124087592,31055.693430656935,1.1240875912408759,,166.77372262773724,0,2024-09-16,3.6266338020706685,1.2857065839329627,8.609475216426171,3.626633797693211,3.6266338049567555,-0.8935677376974334,-0.8935677376974334,-0.8935677376974334,1.25651635689441,1.25651635689441,1.25651635689441,3.4180662124332972,3.4180662124332972,3.4180662124332972,1.175184,1.175184,1.175184,0.01943276635412533,0.01943276635412533,0.01943276635412533,-0.07860436242884292,-0.07860436242884292,-0.07860436242884292,0.6127769281132468,0.6127769281132468,0.6127769281132468,-3.0456669796017906,-3.0456669796017906,-3.0456669796017906,0.006428705535647999,0.006428705535647999,0.006428705535647999,0.12910912049092257,0.12910912049092257,0.12910912049092257,-0.06720952995063836,-0.06720952995063836,-0.06720952995063836,0.0,0.0,0.0,4.883150158965078
